sample_order,question_id,question,dense_single_agent_f1,dense_single_agent_answer_type,dense_single_agent_paragraph_count,dense_single_agent_section_count,dense_single_agent_figure_table_count,dense_single_agent_mixed_sources,evidence_aware_no_critic_f1,evidence_aware_no_critic_answer_type,evidence_aware_no_critic_paragraph_count,evidence_aware_no_critic_section_count,evidence_aware_no_critic_figure_table_count,evidence_aware_no_critic_mixed_sources,full_multi_agent_f1,full_multi_agent_answer_type,full_multi_agent_paragraph_count,full_multi_agent_section_count,full_multi_agent_figure_table_count,full_multi_agent_mixed_sources,f1_difference,answer_type
37,0602a974a879e6eae223cdf048410b5a0111665e,What baseline approaches does this approach out-perform?,0.0,extractive,4,0,1,True,0.5,extractive,5,0,0,False,0.5,extractive,5,0,0,False,0.5,extractive
38,49764eee7fb523a6a28375cc699f5e0220b81766,Did they use a crowdsourcing platform?,0.0,yes/no,5,0,0,False,0.0,yes/no,5,0,0,False,0.0,yes/no,5,0,0,False,0.0,yes/no
39,203337c15bd1ee05763c748391d295a1f6415b9b,Which variation provides the best results on this dataset?,0.5555555555555556,abstractive,5,0,0,False,0.6666666666666666,abstractive,5,0,0,False,0.6666666666666666,abstractive,5,0,0,False,0.11111111111111105,abstractive
40,7cd22ca9e107d2b13a7cc94252aaa9007976b338,Do they inspect their model to see if their model learned to associate image parts with words related to entities?,1.0,yes/no,4,0,1,True,1.0,yes/no,5,0,0,False,1.0,yes/no,5,0,0,False,0.0,yes/no
41,1e185a3b8cac1da939427b55bf1ba7e768c5dae4,What classification baselines are used for comparison?,0.2,extractive,5,0,0,False,0.0,extractive,5,0,0,False,0.0,extractive,5,0,0,False,-0.2,extractive
42,cee8cfaf26e49d98e7d34fa1b414f8f31d6502ad,What is the architecture of their model?,0.3142857142857142,extractive,5,0,0,False,0.20253164556962025,extractive,5,0,0,False,0.20253164556962025,extractive,5,0,0,False,-0.11175406871609397,extractive
43,30af1926559079f59b0df055da76a3a34df8336f,what is the source of the data?,0.0,extractive,4,0,1,True,0.4444444444444445,extractive,5,0,0,False,0.4444444444444445,extractive,5,0,0,False,0.4444444444444445,extractive
44,8748e8f64af57560d124c7b518b853bf2711c13e,Do they report results only on English data?,0.0,unanswerable,5,0,0,False,1.0,yes/no,5,0,0,False,1.0,yes/no,5,0,0,False,1.0,yes/no
45,975e60535724f4149c7488699a199ba2920a062c,What background do they have?,0.0,unanswerable,5,0,0,False,0.0,unanswerable,5,0,0,False,0.0,unanswerable,5,0,0,False,0.0,unanswerable
46,30eacb4595014c9c0e5ee9669103d003cfdfe1e5,Which dataset do they train their models on?,0.8000000000000002,extractive,5,0,0,False,0.8000000000000002,extractive,5,0,0,False,0.8000000000000002,extractive,5,0,0,False,0.0,extractive
47,92bb41cf7bd1f7886784796a8220ed5aa07bc49b,What other factors affect the performance?,0.09523809523809522,extractive,5,0,0,False,0.4166666666666667,extractive,5,0,0,False,0.4166666666666667,extractive,5,0,0,False,0.32142857142857145,extractive
48,b0a18628289146472aa42f992d0db85c200ec64b,What metrics are used in evaluation?,0.4,extractive,5,0,0,False,0.0,extractive,5,0,0,False,0.0,extractive,5,0,0,False,-0.4,extractive
49,badc9db40adbbf2ea7bac29f2e4e3b6b9175b1f9,What state-of-the-art results are achieved?,0.0,abstractive,4,0,1,True,0.0,abstractive,5,0,0,False,0.0,abstractive,5,0,0,False,0.0,abstractive
50,2c7e94a65f5f532aa31d3e538dcab0468a43b264,How was the dataset annotated?,0.17391304347826086,abstractive,4,0,1,True,0.10526315789473685,abstractive,5,0,0,False,0.10526315789473685,abstractive,5,0,0,False,-0.06864988558352401,abstractive
51,aefa333b2cf0a4000cd40566149816f5b36135e7,What evaluation metric do they use?,0.4,extractive,5,0,0,False,0.888888888888889,extractive,5,0,0,False,0.888888888888889,extractive,5,0,0,False,0.48888888888888893,extractive
52,5c3e98e3cebaecd5d3e75ec2c9fc3dd267ac3c83,What experiments are conducted?,0.0,extractive,5,0,0,False,0.0,extractive,4,1,0,True,0.0,extractive,4,1,0,True,0.0,extractive
53,e101e38efaa4b931f7dd75757caacdc945bb32b4,What baseline is used?,0.0,extractive,5,0,0,False,0.0,extractive,5,0,0,False,0.0,extractive,5,0,0,False,0.0,extractive
54,48bd71477d5f89333fa7ce5c4556e4d950fb16ed,what surface-level features are used?,0.0,extractive,5,0,0,False,0.0,extractive,5,0,0,False,0.0,extractive,5,0,0,False,0.0,extractive
55,111afb77cfbf4c98e0458606378fa63a0e965e36,"Overall, does having parallel data improve semantic role induction across multiple languages?",0.0,yes/no,4,0,1,True,0.0,yes/no,5,0,0,False,0.0,yes/no,5,0,0,False,0.0,yes/no
56,59e58c6fc63cf5b54b632462465bfbd85b1bf3dd,"In what way is the offensive dataset not biased by topic, dialect or target?",0.21428571428571427,abstractive,4,0,1,True,0.21428571428571427,abstractive,5,0,0,False,0.21428571428571427,abstractive,5,0,0,False,0.0,abstractive
57,dcea88698949da4a1bd00277c06df06c33f6a5ff,Why does the proposed task a good proxy for the general-purpose sequence to sequence tasks?,0.20689655172413793,extractive,5,0,0,False,0.25974025974025977,extractive,5,0,0,False,0.25974025974025977,extractive,5,0,0,False,0.05284370801612184,extractive
58,eda4869c67fe8bbf83db632275f053e7e0241e8c,Which dataset do they use?,0.33333333333333337,extractive,5,0,0,False,1.0,unanswerable,5,0,0,False,1.0,unanswerable,5,0,0,False,0.6666666666666666,unanswerable
59,f03df5d99b753dc4833ef27b32bb95ba53d790ee,What are the characteristics of the accounts that spread fake news?,0.4,abstractive,1,4,0,True,0.2580645161290323,abstractive,4,0,1,True,0.2580645161290323,abstractive,4,0,1,True,-0.14193548387096772,abstractive
60,8e44c02c2d9fa56fb74ace35ee70a5add50b52ae,Does the corpus contain only English documents?,0.0,yes/no,5,0,0,False,0.0,yes/no,5,0,0,False,0.0,yes/no,5,0,0,False,0.0,yes/no
61,46c9e5f335b2927db995a55a18b7c7621fd3d051,How many different phenotypes are present in the dataset?,0.0,extractive,3,0,2,True,0.0,extractive,3,0,2,True,0.0,extractive,3,0,2,True,0.0,extractive
62,cd06d775f491b4a17c9d616a8729fd45aa2e79bf,Which sentiment class is the most accurately predicted by ELS systems?,0.0,abstractive,3,0,2,True,0.0,abstractive,3,0,2,True,0.0,abstractive,3,0,2,True,0.0,abstractive
63,73e83c54251f6a07744413ac8b8bed6480b2294f,What word-based and dictionary-based feature are used?,0.0,extractive,4,0,1,True,0.0,extractive,4,1,0,True,0.0,extractive,4,1,0,True,0.0,extractive
64,ef396a34436072cb3c40b0c9bc9179fee4a168ae,What tasks do they experiment with?,0.5,extractive,4,0,1,True,0.4444444444444444,extractive,5,0,0,False,0.4444444444444444,extractive,5,0,0,False,-0.05555555555555558,extractive
65,435570723b37ee1f5898c1a34ef86a0b2e8701bb,Which translation systems do they compare against?,0.0,extractive,5,0,0,False,0.1212121212121212,extractive,5,0,0,False,0.1212121212121212,extractive,5,0,0,False,0.1212121212121212,extractive
66,a1ac2a152710335519c9a907eec60d9f468b19db,What is specific to multi-granularity and multi-tasking neural arhiteture design?,0.21428571428571427,abstractive,4,0,1,True,0.2857142857142857,abstractive,4,0,1,True,0.2857142857142857,abstractive,4,0,1,True,0.07142857142857142,abstractive
67,1beb4a590fa6127a138f4ed1dd13d5d51cc96809,What are the network's baseline features?,0.3333333333333333,abstractive,5,0,0,False,0.3333333333333333,abstractive,4,1,0,True,0.3333333333333333,abstractive,4,1,0,True,0.0,abstractive
68,f697d00a82750b14376fe20a5a2b249e98bebe9b,Which deep learning architecture do they use for sentence segmentation?,0.0,extractive,4,1,0,True,1.0,extractive,4,0,1,True,1.0,extractive,4,0,1,True,1.0,extractive
69,6568a31241167f618ef5ede939053feaa2fb0d7e,Do they add one latent variable for each language pair in their Bayesian model?,1.0,yes/no,5,0,0,False,1.0,yes/no,5,0,0,False,1.0,yes/no,5,0,0,False,0.0,yes/no
70,8a1c0ef69b6022a0642ca131a8eacb5c97016640,What additional features and context are proposed?,0.4347826086956522,extractive,4,0,1,True,0.2727272727272727,abstractive,5,0,0,False,0.2727272727272727,abstractive,5,0,0,False,-0.1620553359683795,abstractive
71,d6e353e0231d09fd5dcba493544d53706f3fe1ab,How is the quality of singing voice measured?,0.07142857142857144,extractive,4,0,1,True,0.30508474576271183,abstractive,5,0,0,False,0.30508474576271183,abstractive,5,0,0,False,0.23365617433414038,abstractive
72,b21bc09193699dc9cfad523f3d5542b0b2ff1b8e,Which classification algorithm do they use for s2sL?,1.0,extractive,5,0,0,False,1.0,extractive,5,0,0,False,1.0,extractive,5,0,0,False,0.0,extractive
73,2a6003a74d051d0ebbe62e8883533a5f5e55078b,which neural embedding model works better?,0.5,abstractive,5,0,0,False,0.2,abstractive,5,0,0,False,0.2,abstractive,5,0,0,False,-0.3,abstractive
74,76ed74788e3eb3321e646c48ae8bf6cdfe46dca1,what linguistics features are used?,0.20000000000000004,abstractive,5,0,0,False,0.20000000000000004,abstractive,5,0,0,False,0.20000000000000004,abstractive,5,0,0,False,0.0,abstractive
75,559c68802ee2bb8b11e2188127418ca3a6155ba7,Is the data in CoVoST annotated for dialect?,0.0,yes/no,4,0,1,True,0.0,yes/no,5,0,0,False,0.0,yes/no,5,0,0,False,0.0,yes/no
76,1522ccedbb1f668958f24cca070f640274bc2549,What type of evaluation is proposed for this task?,0.0,abstractive,5,0,0,False,0.0,abstractive,5,0,0,False,0.125,abstractive,5,0,0,False,0.125,abstractive
77,ababb79dd3c301f4541beafa181f6a6726839a10,what debates dataset was used?,0.30769230769230765,extractive,4,1,0,True,0.30769230769230765,extractive,4,1,0,True,0.30769230769230765,extractive,4,1,0,True,0.0,extractive
78,72755c2d79210857cfff60bfbcb55f83c71ada51,what is the size of the speech corpus?,0.4000000000000001,extractive,5,0,0,False,0.4000000000000001,extractive,5,0,0,False,0.4000000000000001,extractive,5,0,0,False,0.0,extractive
79,bb2de20ee5937da7e3e6230e942bec7b6e8f61ee,What is the source of their dataset?,0.0,extractive,4,0,1,True,0.16666666666666666,extractive,5,0,0,False,0.16666666666666666,extractive,5,0,0,False,0.16666666666666666,extractive
80,c8541ff10c4e0c8e9eb37d9d7ea408d1914019a9,Which datasets are employed for South African languages LID?,0.0,extractive,5,0,0,False,0.42857142857142855,extractive,5,0,0,False,0.42857142857142855,extractive,5,0,0,False,0.42857142857142855,extractive
81,d53299fac8c94bd0179968eb868506124af407d1,What is the performance of classifiers?,0.25,abstractive,3,1,1,True,0.33333333333333337,extractive,4,0,1,True,0.33333333333333337,extractive,4,0,1,True,0.08333333333333337,extractive
82,1f085b9bb7bfd0d6c8cba1a9d73f08fcf2da7590,did they use a crowdsourcing platform for manual annotations?,0.0,yes/no,5,0,0,False,0.0,yes/no,5,0,0,False,0.0,yes/no,5,0,0,False,0.0,yes/no
83,567dc9bad8428ea9a2658c88203a0ed0f8da0dc3,What is the best model?,0.0,extractive,3,0,2,True,0.0,extractive,3,0,2,True,0.0,extractive,3,0,2,True,0.0,extractive
84,5eabfc6cc8aa8a99e6e42514ef9584569cb75dec,Do they evaluate only on English datasets?,1.0,yes/no,4,0,1,True,0.0,yes/no,5,0,0,False,0.0,yes/no,5,0,0,False,-1.0,yes/no
85,c5b0ed5db65051eebd858beaf303809aa815e8e5,Do they use large or small BERT?,0.6666666666666666,abstractive,5,0,0,False,0.6666666666666666,abstractive,5,0,0,False,0.6666666666666666,abstractive,5,0,0,False,0.0,abstractive
86,f59f1f5b528a2eec5cfb1e49c87699e0c536cc45,How big is the new Nepali NER dataset?,0.27272727272727276,abstractive,5,0,0,False,0.17391304347826086,abstractive,5,0,0,False,0.17391304347826086,abstractive,5,0,0,False,-0.0988142292490119,abstractive
87,1c997c268c68149ae6fb43d83ffcd53f0e7fe57e,How do they combine a deep learning model with a knowledge base?,0.4,abstractive,4,0,1,True,0.4,abstractive,4,0,1,True,0.4,abstractive,4,0,1,True,0.0,abstractive
88,044f922604b4b3f42ae381419fd5cd5624fa0637,In what cases is attention different from alignment?,0.16666666666666666,extractive,4,0,1,True,0.1212121212121212,extractive,4,0,1,True,0.1212121212121212,extractive,4,0,1,True,-0.045454545454545456,extractive
89,fd0a3e9c210163a55d3ed791e95ae3875184b8f8,Which dataset do they use?,1.0,extractive,5,0,0,False,0.8,extractive,4,0,1,True,0.8,extractive,4,0,1,True,-0.19999999999999996,extractive
90,c2d1387e08cf25cb6b1f482178cca58030e85b70,Do they test both skipgram and c-bow?,1.0,yes/no,5,0,0,False,1.0,yes/no,5,0,0,False,1.0,yes/no,5,0,0,False,0.0,yes/no
91,da55bd769721b878dd17f07f124a37a0a165db02,What kind of repetitive and time-consuming activities does their assistant handle?,0.04444444444444444,extractive,4,0,1,True,0.04347826086956522,extractive,5,0,0,False,0.04347826086956522,extractive,5,0,0,False,-0.0009661835748792161,extractive
92,40c0f97c3547232d6aa039fcb330f142668dea4b,Do they evaluate on English only datasets?,0.0,unanswerable,5,0,0,False,0.0,unanswerable,4,0,1,True,0.0,unanswerable,4,0,1,True,0.0,unanswerable
93,2c7494d47b2a69f182e83455fe4c75ae3b2893e9,Do they evaluate their learned representations on downstream tasks?,0.0,yes/no,5,0,0,False,0.0,yes/no,5,0,0,False,0.0,yes/no,5,0,0,False,0.0,yes/no
94,a616a3f0d244368ec588f04dfbc37d77fda01b4c,What are the 12 languages covered?,0.588235294117647,abstractive,4,0,1,True,0.0,abstractive,3,0,2,True,0.0,abstractive,3,0,2,True,-0.588235294117647,abstractive
95,22732cb9476e521452bf0538f3fdb94cf3867651,What kind of stylistic features are obtained?,0.0,unanswerable,5,0,0,False,0.0,unanswerable,5,0,0,False,0.0,unanswerable,5,0,0,False,0.0,unanswerable
96,22815878083ebd2f9e08bc33a5e733063dac7a0f,What other examples of morphologically-rich languages do the authors give?,1.0,extractive,5,0,0,False,1.0,extractive,5,0,0,False,1.0,extractive,5,0,0,False,0.0,extractive
97,d2a0142150cc3788475572f82458ef88087bd7ac,Which three discriminative models did they use?,0.0,extractive,3,0,2,True,0.0,extractive,4,0,1,True,0.0,extractive,4,0,1,True,0.0,extractive
98,f88036174b4a0dbf4fe70ddad884d16082c5748d,"Is order of ""words"" important in car speak language?",0.0,unanswerable,5,0,0,False,0.0,unanswerable,5,0,0,False,0.0,unanswerable,5,0,0,False,0.0,unanswerable
99,64af7f5c109ed10eda4fb1b70ecda21e6d5b96c8,"How is ""propaganda"" defined for the purposes of this study?",0.4166666666666667,extractive,5,0,0,False,0.36,extractive,5,0,0,False,0.36,extractive,5,0,0,False,-0.0566666666666667,extractive
100,c9305e5794b65b33399c22ac8e4e024f6b757a30,"What is best performing model among author's submissions, what performance it had?",0.125,abstractive,4,0,1,True,0.07407407407407407,abstractive,5,0,0,False,0.07407407407407407,abstractive,5,0,0,False,-0.05092592592592593,abstractive
